"","Species","Family","Wing.span","Overwintering","Voltinism","Host_form","Trophic.range","Adult_feeding","Habitat_3D","meanRGB","Nr_Ahost"
"1","Abraxas_sylvata","Geometridae",38,3,1,4,3,1,2.5,0.662690871434572,0
"2","Abrostola_tripartita","Noctuidae",30,3,2,1,1,1,2.5,0.433009131746216,1
"3","Abrostola_triplasia","Noctuidae",34,3,2,1,1,1,2,0.427337810692306,1
"4","Acronicta_aceris","Noctuidae",31,3,2,4,3,1,2.5,0.635466866171209,0
"5","Acronicta_alni","Noctuidae",37,3,2,4,3,1,2.5,0.576148783117737,0
"6","Acronicta_auricoma","Noctuidae",38,3,2,3,3,1,2,0.549586901029208,1
"7","Acronicta_euphorbiae","Noctuidae",28,3,2,3,3,1,1.5,0.533978825373607,0
"8","Acronicta_leporina","Noctuidae",37,3,2,4,3,1,2.5,0.807731062181559,0
"9","Acronicta_megacephala","Noctuidae",38,3,2,4,1,1,2.5,0.563082491258524,0
"10","Acronicta_menyanthidis","Noctuidae",37,3,2,3,3,1,2.333333333,0.584814117045338,NA
"11","Acronicta_psi","Noctuidae",37,3,2,4,3,1,2.5,0.654969243409199,1
"12","Acronicta_rumicis","Noctuidae",37,3,2,3,3,1,1.5,0.458945883510259,0
"13","Agrotis_exclamationis","Noctuidae",37,2,2,2,3,1,1,0.545816017869995,2
"14","Agrotis_ipsilon","Noctuidae",45,2,2,2,3,1,1,0.496780419293842,7
"15","Agrotis_segetum","Noctuidae",35,2,2,2,3,1,1,0.53692217638201,5
"16","Alcis_repandata","Geometridae",43,2,1,4,3,1,3,0.453972819013739,4
"17","Amphipoea_oculea","Noctuidae",29,1,1,2,3,1,1.75,0.406265882494663,NA
"18","Amphipyra_berbera","Noctuidae",49,1,1,4,3,1,2,0.38140923741483,0
"19","Amphipyra_perflua","Noctuidae",49,1,1,4,3,1,2.666667,0.440169415062171,NA
"20","Amphipyra_pyramidea","Noctuidae",48,1,1,4,3,1,3,0.395215908072083,1
"21","Amphipyra_tragopoginis","Noctuidae",31,1,1,1,3,1,2,0.445617874656311,2
"22","Anaplectoides_prasina","Noctuidae",46,2,1,3,3,1,2.5,0.451441479416246,1
"23","Angerona_prunaria","Geometridae",42,2,1,4,3,1,2.5,0.509318519342248,0
"24","Apamea_crenata","Noctuidae",40,2,1,2,2,1,1.5,0.453936935348571,1
"25","Apamea_illyria","Noctuidae",33,2,1,2,2,1,2.5,0.495033299224714,0
"26","Apamea_lateritia","Noctuidae",46,2,1,2,2,1,1.5,0.419220004596088,NA
"27","Apamea_monoglypha","Noctuidae",49,2,1,2,2,1,2,0.447126717740067,4
"28","Apamea_remissa","Noctuidae",36,2,1,2,2,1,2.666667,0.455285924705665,0
"29","Apamea_rubrirena","Noctuidae",45,2,1,2,2,1,2.5,0.435866108120805,1
"30","Apamea_unanimis","Noctuidae",31,2,1,2,2,1,2,0.43389294710399,0
"31","Apeira_syringaria","Geometridae",24,2,1,4,2,0,3,0.560729444534561,0
"32","Aplocera_plagiata","Geometridae",34,2,2,1,1,1,1.5,0.671763103287096,5
"33","Aplocera_praeformata","Geometridae",38,2,1,1,1,1,1.5,0.643727487629619,3
"34","Archanara_neurica","Noctuidae",27,1,1,2,1,1,2,0.51241454871437,0
"35","Arichanna_melanaria","Geometridae",38,2,1,3,1,1,2,0.484813612763273,0
"36","Asthena_albulata","Geometridae",18,3,2,3,3,1,3,0.776648662160648,0
"37","Atypha_pulmonaris","Noctuidae",25,1,1,1,1,1,2.5,0.437836887302889,0
"38","Autographa_buraetica","Noctuidae",36,2,1,1,3,1,2,0.455737752921152,NA
"39","Autographa_gamma","Noctuidae",35,2,2,1,3,1,1.909090909,0.409951747912742,74
"40","Autographa_pulchrina","Noctuidae",38,2,1,3,3,1,2,0.416538511495736,5
"41","Axylia_putris","Noctuidae",31,3,2,1,3,1,1.5,0.578599523074449,0
"42","Biston_betularia","Geometridae",47,3,1,4,3,0,2.5,0.516102422465943,1
"43","Brachylomia_viminalis","Noctuidae",32,1,1,4,1,1,2.5,0.503379706369172,1
"44","Bupalus_piniaria","Geometridae",35,3,1,4,2,0,2.5,0.450301289340745,0
"45","Cabera_exanthemata","Geometridae",27,3,2,4,2,1,2.5,0.728114688846501,0
"46","Cabera_pusaria","Geometridae",30,3,2,4,3,1,2.5,0.774475950405748,2
"47","Callierges_ramosa","Noctuidae",30,2,1,3,1,1,2,0.579590763773204,NA
"48","Campaea_margaritaria","Geometridae",42,2,2,4,3,1,3,0.716891611375965,1
"49","Camptogramma_bilineata","Geometridae",26,2,2,1,3,1,2,0.587961525059603,8
"50","Catarhoe_cuculata","Geometridae",25,3,2,1,1,1,3,0.652799832097347,1
"51","Cepphis_advenaria","Geometridae",26,3,1,3,3,1,2.5,0.572179613297595,0
"52","Ceramica_pisi","Noctuidae",38,3,2,1,3,1,1.5,0.407260274125638,2
"53","Cerapteryx_graminis","Noctuidae",28,2,1,2,2,1,1,0.444303811109542,2
"54","Charanyca_trigrammica","Noctuidae",36,2,1,1,3,1,1.5,0.536089438295523,NA
"55","Chersotis_multangula","Noctuidae",34,2,1,2,3,1,1,0.462221061571339,1
"56","Chiasmia_clathrata","Geometridae",26,3,2,1,2,1,1.5,0.50058775064739,13
"59","Chloroclystis_v_ata","Geometridae",17,3,2,3,3,1,2,0.614104171253401,0
"60","Colocasia_coryli","Noctuidae",36,3,1,4,3,1,2.5,0.533691832466636,0
"61","Colostygia_olivata","Geometridae",24,2,1,1,1,1,2.5,0.554543318954743,0
"62","Colostygia_pectinataria","Geometridae",25,2,1,1,3,1,2.25,0.666468934205089,3
"63","Comibaena_bajularia","Geometridae",30,2,1,4,1,1,2.5,0.579051206491834,0
"64","Cosmia_affinis","Noctuidae",31,1,1,4,1,1,2.5,0.386054709390656,1
"65","Cosmia_trapezina","Noctuidae",29,1,1,4,3,1,2.5,0.500257269103215,2
"66","Cosmorhoe_ocellata","Geometridae",23,2,2,1,1,1,1.75,0.728074748225323,1
"67","Craniophora_ligustri","Noctuidae",34,3,2,4,2,1,2,0.442987727360538,0
"68","Crocallis_elinguaria","Geometridae",41,2,1,4,3,0,3,0.696124107686558,0
"69","Cryphia_algae","Noctuidae",24,2,1,5,1,1,2.5,0.457801397477288,0
"70","Cucullia_lucifuga","Noctuidae",46,3,1,1,2,1,1.5,0.465248870091408,1
"72","Cyclophora_annularia","Geometridae",23,3,2,4,1,1,3,0.709998189621828,1
"73","Cyclophora_linearia","Geometridae",25,3,2,4,1,1,3,0.655507554017992,2
"74","Cyclophora_pendularia","Geometridae",25,3,2,4,1,1,3,0.601020321509756,0
"75","Cyclophora_punctaria","Geometridae",26,3,2,4,1,1,2.5,0.700581199066531,0
"76","Dasypolia_templi","Noctuidae",37,4,1,1,2,1,1.5,0.502990325301556,NA
"77","Deileptenia_ribeata","Geometridae",39,2,1,4,3,1,3,0.479161911619736,3
"79","Deltote_uncula","Noctuidae",23,3,1,2,1,1,1,0.538172117551511,NA
"80","Diachrysia_chrysitis","Noctuidae",34,2,2,1,2,1,1.5,0.441161768091845,9
"81","Diarsia_brunnea","Noctuidae",37,2,1,3,3,1,2.5,0.437608078454521,3
"82","Diarsia_mendica","Noctuidae",31,2,1,3,3,1,2.5,0.497971006430613,2
"83","Dypterygia_scabriuscula","Noctuidae",32,2,2,1,3,1,1.5,0.39891292766959,0
"84","Dysstroma_citrata","Geometridae",30,1,1,4,3,1,2.5,0.60555531608341,0
"85","Dysstroma_truncata","Geometridae",30,2,2,4,3,1,2.666667,0.540666046996644,1
"86","Ecliptopera_capitata","Geometridae",23,3,2,1,1,1,2.5,0.599906318582721,NA
"87","Ecliptopera_silaceata","Geometridae",26,3,2,1,2,1,2.5,0.567304286663233,2
"88","Ectropis_crepuscularia","Geometridae",34,3,2,4,3,1,2,0.553285591488724,1
"89","Elaphria_venustula","Noctuidae",21,3,1,3,3,1,1.5,0.582007566144237,0
"90","Electrophaes_corylata","Geometridae",25,3,1,3,3,1,2.5,0.617231584786743,0
"91","Elophos_vittaria","Geometridae",35,2,1,3,3,1,2.5,0.610208328363627,NA
"92","Ennomos_quercinaria","Geometridae",33,1,1,4,3,0,3,0.700149108399081,0
"93","Entephria_caesiata","Geometridae",30,2,1,4,3,1,2.666667,0.618881264605303,2
"95","Epirrhoe_alternata","Geometridae",24,3,2,1,1,1,2,0.650912441158289,8
"96","Epirrhoe_hastulata","Geometridae",21,3,2,1,1,1,2.5,0.457349680649552,0
"97","Epirrhoe_molluginata","Geometridae",27,3,2,1,1,1,2.5,0.651630444776535,NA
"98","Epirrhoe_tristata","Geometridae",23,3,2,1,1,1,1.5,0.541471390877344,5
"99","Eriopygodes_imbecilla","Noctuidae",26,2,1,1,3,1,2.5,0.412307323087011,NA
"100","Euchoeca_nebulata","Geometridae",20,3,2,4,1,1,2.666667,0.586764236964676,0
"101","Eulithis_populata","Geometridae",26,1,1,4,2,1,2.666667,0.658331346874648,9
"102","Eulithis_prunata","Geometridae",31,1,1,3,1,1,2.5,0.576025949531316,2
"103","Euphyia_biangulata","Geometridae",28,3,2,1,1,1,3,0.614893499591463,NA
"104","Euphyia_unangulata","Geometridae",25,3,2,1,1,1,2.5,0.629478056111445,NA
"105","Eupithecia_abbreviata","Geometridae",21,3,1,4,1,1,3,0.575609895220112,1
"106","Eupithecia_abietaria","Geometridae",21,3,1,4,1,1,3,0.591441957387017,0
"107","Eupithecia_analoga","Geometridae",19,3,1,4,2,1,3,0.597729278663537,0
"108","Eupithecia_icterata","Geometridae",22,3,1,1,2,1,1.5,0.506496288812117,2
"109","Eupithecia_nanata","Geometridae",19,3,2,3,1,1,2.5,0.517098836580771,0
"110","Eupithecia_tantillaria","Geometridae",18,3,1,4,1,1,3,0.546073609026071,0
"111","Eupithecia_tenuiata","Geometridae",16,1,1,4,1,1,2.5,0.58568647615258,0
"112","Euplexia_lucipara","Noctuidae",30,3,2,4,3,1,2.5,0.395476134877108,0
"113","Eupsilia_transversa","Noctuidae",38,4,1,4,3,1,2.5,0.39864201208879,9
"114","Eurois_occulta","Noctuidae",55,2,1,3,3,1,2.666667,0.439766717223139,0
"115","Eustroma_reticulata","Geometridae",25,3,1,1,1,1,3,0.591555496200803,0
"116","Fagivorina_arenaria","Geometridae",31,3,1,4,2,1,2.5,0.683313834500308,0
"117","Geometra_papilionaria","Geometridae",46,2,1,4,3,1,2.5,0.50468680202126,0
"118","Graphiphora_augur","Noctuidae",42,2,1,3,3,1,2.5,0.443757749227566,1
"119","Hada_plebeja","Noctuidae",34,3,1,1,1,1,2.666667,0.443552243532834,10
"120","Hemistola_chrysoprasaria","Geometridae",32,2,1,3,1,1,2,0.640571301326858,0
"121","Hemithea_aestivaria","Geometridae",26,2,2,4,3,1,2.5,0.545624170089011,1
"122","Hoplodrina_ambigua","Noctuidae",29,2,2,1,3,1,1.5,0.634809536200813,5
"123","Hoplodrina_blanda","Noctuidae",30,2,1,1,3,1,1.5,0.488854296803902,6
"124","Hoplodrina_octogenaria","Noctuidae",30,2,2,1,3,1,1.5,0.49372954367972,4
"125","Hoplodrina_respersa","Noctuidae",31,2,1,1,3,1,1.5,0.579317478326017,1
"126","Hoplodrina_superstes","Noctuidae",32,2,1,1,3,1,1.5,0.569936479682022,NA
"127","Horisme_tersata","Geometridae",30,3,1,3,1,1,2.5,0.57266691764967,0
"128","Hydrelia_flammeolaria","Geometridae",19,3,1,4,1,1,2.666667,0.674194213067876,0
"129","Hydrelia_sylvata","Geometridae",21,3,1,4,2,1,2.5,0.713569726884758,0
"130","Hydriomena_furcata","Geometridae",32,1,1,4,1,1,2.666667,0.560794019742565,8
"131","Hydriomena_impluviata","Geometridae",30,3,2,4,3,1,2.666667,0.61160254213169,0
"132","Hylaea_fasciaria","Geometridae",35,2,2,4,1,1,3,0.544313338621301,0
"133","Hypomecis_punctinalis","Geometridae",42,3,2,4,3,1,2.5,0.593979256476383,0
"134","Hypomecis_roboraria","Geometridae",52,2,2,4,3,1,2.5,0.477148149969867,2
"135","Hyppa_rectilinea","Noctuidae",37,2,1,3,3,1,2.666667,0.479903964512183,0
"136","Idaea_aversata","Geometridae",27,2.325331036,2,4,3,1,2.5,0.683838483620214,NA
"137","Idaea_biselata","Geometridae",18,2,2,4,3,1,2.5,0.748969001630648,NA
"138","Idaea_dimidiata","Geometridae",16,2,1,3,3,1,2.5,0.69045457782973,0
"139","Idaea_straminata","Geometridae",26,2,2,3,3,1,2,0.687172644889499,NA
"140","Ipimorpha_subtusa","Noctuidae",28,1,1,4,1,1,2.5,0.411226934043969,0
"141","Jodis_putata","Geometridae",18,3,1,3,1,1,3,0.725396588964497,1
"142","Lacanobia_aliena","Noctuidae",41,3,1,3,2,1,1.5,0.410890587816293,0
"143","Lacanobia_contigua","Noctuidae",37,3,2,4,3,1,2.5,0.494719369328081,2
"144","Lacanobia_suasa","Noctuidae",37,3,2,1,3,1,2,0.475041121338428,4
"145","Lacanobia_thalassina","Noctuidae",37,3,1,4,3,1,2.5,0.458892836058247,2
"146","Lampropteryx_otregiata","Geometridae",23,3,2,1,1,1,3,0.624467064858493,NA
"147","Lampropteryx_suffumata","Geometridae",28,3,1,1,1,1,2.5,0.602483175905775,NA
"148","Lasionycta_proxima","Noctuidae",30,2,1,1,3,1,2,0.510131280465621,NA
"149","Leucania_comma","Noctuidae",36,2,2,2,2,1,1.75,0.511111160300984,1
"150","Leucania_obsoleta","Noctuidae",34,2,1,2,1,1,1,0.561179802382911,0
"151","Ligdia_adustata","Geometridae",27,3,2,3,1,1,2.5,0.602590481425771,2
"152","Lomaspilis_marginata","Geometridae",23,3,2,4,2,1,2.5,0.611639035674687,0
"153","Lomographa_bimaculata","Geometridae",25,3,1,4,3,1,2.666667,0.814808214682637,0
"154","Lomographa_temerata","Geometridae",27,3,2,4,3,1,2.5,0.792600075300488,1
"155","Luperina_testacea","Noctuidae",33,2,1,2,2,1,1,0.55159921678397,NA
"156","Macaria_alternata","Geometridae",25,3,2,4,3,1,2.5,0.602913516717076,2
"157","Macaria_brunneata","Geometridae",23,1,1,3,2,1,2.666667,0.511311928252769,3
"158","Macaria_liturata","Geometridae",28,2,2,4,2,1,2.5,0.569037343676436,3
"159","Macaria_signaria","Geometridae",27,2,1,4,2,1,2.5,0.630156303511426,NA
"160","Macdunnoughia_confusa","Noctuidae",31,2,2,1,3,1,1.909090909,0.421477831639712,26
"161","Mamestra_brassicae","Noctuidae",42,3,2,1,3,1,2,0.401826465169634,4
"162","Martania_taeniata","Geometridae",22,2,1,5,1,1,2.5,0.630540332993356,NA
"163","Melanchra_persicariae","Noctuidae",39,3,1,1,3,1,2,0.408031082892234,2
"164","Melanthia_procellata","Geometridae",34,3,2,3,1,1,2.5,0.678879257845581,2
"165","Mesapamea_didyma","Noctuidae",31,2,1,2,2,1,1.5,0.437707957232326,NA
"166","Mesapamea_secalis","Noctuidae",31,2,1,2,2,1,1.5,0.397690109470906,NA
"167","Mesoleuca_albicillata","Geometridae",28,3,1,3,1,1,2.5,0.691618543439527,2
"168","Mesoligia_furuncula","Noctuidae",21,2,1,2,2,1,1.5,0.544464780482662,7
"169","Mesotype_didymata","Geometridae",21,1,1,3,3,1,2.5,0.669358492917787,1
"170","Mesotype_verberata","Geometridae",24,1,1,1,3,1,2.5,0.769336122289107,3
"171","Mniotype_adusta","Noctuidae",39,2,1,3,3,1,2.666667,0.444460407363179,NA
"172","Mniotype_satura","Noctuidae",42,1,1,3,3,1,2.5,0.363710850723417,1
"173","Moma_alpium","Noctuidae",35,3,1,4,3,1,3,0.529178978975602,0
"175","Mythimna_andereggii","Noctuidae",30,NA,NA,NA,NA,NA,NA,0.525272865169985,NA
"176","Mythimna_conigera","Noctuidae",35,2,1,2,2,1,1.5,0.495492472745143,13
"177","Mythimna_ferrago","Noctuidae",36,2,1,2,2,1,1.5,0.492647825037464,7
"178","Mythimna_impura","Noctuidae",32,2,2,2,2,1,2,0.535657800991559,7
"180","Naenia_typica","Noctuidae",36,2,1,3,3,1,2.5,0.424893804488049,2
"181","Noctua_comes","Noctuidae",42,2,1,3,3,1,2.5,0.41855559608029,6
"182","Noctua_fimbriata","Noctuidae",54,2,1,3,3,1,2.5,0.4463791404264,1
"183","Noctua_interjecta","Noctuidae",35,2,1,3,3,1,1.5,0.426408446076265,NA
"184","Noctua_interposita","Noctuidae",43,2,1,2,3,1,1.5,0.408902683833994,NA
"185","Noctua_janthe","Noctuidae",38,2,1,3,3,1,2.5,0.399578768730276,0
"186","Noctua_janthina","Noctuidae",38,2,1,3,3,1,2.5,0.342723641534165,2
"187","Noctua_orbona","Noctuidae",41,2,1,2,3,1,2.5,0.378146497171536,1
"188","Noctua_pronuba","Noctuidae",55,2,1,3,3,1,1.5,0.427697180949459,13
"189","Ochropleura_plecta","Noctuidae",28,3,2,2,3,1,2,0.553228478116846,4
"190","Odontopera_bidentata","Geometridae",43,3,1,4,3,1,3,0.568871296018247,NA
"191","Oligia_latruncula","Noctuidae",23,2,1,2,2,1,1.909090909,0.389876752914298,0
"192","Oligia_strigilis","Noctuidae",26,2,1,2,2,1,1.5,0.448051681860816,1
"193","Oligia_versicolor","Noctuidae",25,2,1,2,3,1,1.75,0.455778838645912,2
"194","Opigena_polygona","Noctuidae",39,2,1,1,3,1,1,0.480329625555075,NA
"195","Opisthograptis_luteolata","Geometridae",34,3,1,3,2,1,2.5,0.678066764913066,2
"197","Panthea_coenobita","Noctuidae",42,3,1,4,2,1,3,0.529973682280699,0
"198","Papestra_biren","Noctuidae",35,3,1,4,3,1,2.5,0.436077463994046,0
"199","Parectropis_similaria","Geometridae",32,3,1,4,3,1,3,0.452897575340611,0
"200","Pasiphila_debiliata","Geometridae",18,1,1,4,1,1,2.5,0.585147139588555,1
"201","Pasiphila_rectangulata","Geometridae",19,1,1,4,1,1,2,0.487574149029083,1
"202","Peribatodes_rhomboidaria","Geometridae",34,2.5,2,3,3,1,2.5,0.46701015851055,2
"203","Peribatodes_secundaria","Geometridae",30,2,1,4,2,1,2,0.467028665819751,1
"204","Perizoma_albulata","Geometridae",19,3,2,1,1,1,1.75,0.739703662159988,1
"205","Perizoma_alchemillata","Geometridae",18,3,2,1,2,1,2.5,0.591486248500043,1
"206","Perizoma_hydrata","Geometridae",21,3,1,1,2,1,2,0.626692764137088,0
"207","Petrophora_chlorosata","Geometridae",29,3,1,1,1,1,2.5,0.653253397250732,0
"208","Philereme_transversata","Geometridae",34,1,1,3,1,1,2,0.475092672510701,0
"209","Philereme_vetulata","Geometridae",27,1,1,3,1,1,2.5,0.584102800472889,0
"210","Phlogophora_meticulosa","Noctuidae",48,3,2,4,3,1,2.5,0.552293941606803,4
"211","Phlogophora_scita","Noctuidae",39,2,1,4,3,1,3,0.627575414162141,3
"212","Plagodis_dolabraria","Geometridae",30,3,1,4,3,1,3,0.633891557203408,0
"213","Plagodis_pulveraria","Geometridae",29,3,2,4,3,1,2.5,0.542921831366623,3
"214","Polia_bombycina","Noctuidae",51,2,1,3,3,1,1.5,0.434667753059608,1
"215","Polia_hepatica","Noctuidae",48,2,1,4,3,1,2.5,0.483505607505483,0
"216","Polia_nebulosa","Noctuidae",50,2,1,3,3,1,2.5,0.492313446660115,1
"217","Polychrysia_moneta","Noctuidae",35,2,2,1,2,1,2.5,0.501662861384693,2
"218","Protodeltote_pygarga","Noctuidae",29,3,1,2,2,1,2.5,0.501998209064526,NA
"219","Pseudopanthera_macularia","Geometridae",27,3,1,1,3,1,2,0.53265252752971,25
"220","Pungeleria_capreolaria","Geometridae",28,2,1,4,1,1,3,0.566152237785532,1
"221","Pyrrhia_umbra","Noctuidae",30,3,2,1,3,1,1,0.485263203523597,3
"222","Rheumaptera_undulata","Geometridae",33,3,1,4,3,1,2.666667,0.592327132170903,0
"223","Scopula_floslactata","Geometridae",27,2,1,4,3,1,2.5,0.803473537603803,NA
"224","Scopula_immutata","Geometridae",22,2,1,2,3,1,2,0.820333107964125,2
"225","Scopula_marginepunctata","Geometridae",22,2,2,1,3,1,1.5,0.696420502427131,0
"226","Scopula_nigropunctata","Geometridae",27,2,1,3,3,1,2.5,0.736019917713178,1
"227","Scopula_ternata","Geometridae",25,2,1,3,3,1,2.666667,0.770853138683384,0
"228","Scotopteryx_chenopodiata","Geometridae",31,2,1,1,3,1,2,0.548698599903712,15
"229","Selenia_dentaria","Geometridae",36,3,2,4,3,1,2.5,0.6235228454319,0
"230","Selenia_lunularia","Geometridae",36,3,2,4,3,1,2.5,0.639811431871866,0
"231","Selenia_tetralunaria","Geometridae",29,3,2,4,3,1,2.5,0.541135762402254,0
"232","Shargacucullia_scrophulariae","Noctuidae",40,3,1,1,1,1,2,0.487550787985763,1
"233","Sideridis_rivularis","Noctuidae",32,3,1,1,1,1,1.5,0.455424402527539,4
"234","Spargania_luctuata","Geometridae",26,3,2,1,1,1,2.5,0.534794600128716,1
"235","Stegania_cararia","Geometridae",21,3,1,4,1,1,2.5,0.545136983226733,0
"236","Syngrapha_interrogationis","Noctuidae",33,2,1,2,2,1,2.25,0.442811141801174,0
"237","Thera_britannica","Geometridae",28,2,2,4,2,1,3,0.689108688433803,0
"238","Thera_obeliscata","Geometridae",27,2,2,4,2,1,2.5,0.673091169311056,0
"239","Thera_variata","Geometridae",25,2,2,4,2,1,3,0.617548455916091,1
"240","Thera_vetustata","Geometridae",23,2,2,4,1,1,3,0.685594255026342,0
"241","Timandra_comae","Geometridae",29,2.5,2,1,1,1,2.666667,0.672336372695205,4
"242","Trachea_atriplicis","Noctuidae",44,3,2,1,3,1,2,0.395603982032885,0
"243","Triphosa_dubitata","Geometridae",40,4,1,3,2,1,2.5,0.604602316888461,2
"244","Venusia_blomeri","Geometridae",21,3,2,4,1,1,3,0.680923709976782,0
"245","Venusia_cambrica","Geometridae",26,3,1,4,1,1,2.5,0.691816654261106,NA
"246","Xanthorhoe_biriviata","Geometridae",25,3,2,1,1,1,2.5,0.648989819649442,6
"247","Xanthorhoe_designata","Geometridae",23,3,2,1,2,1,2.666667,0.659133266615587,0
"248","Xanthorhoe_ferrugata","Geometridae",22,3,2,1,3,1,2.666667,0.607688623463845,0
"249","Xanthorhoe_fluctuata","Geometridae",24,3,2,1,2,1,2.5,0.675210931107456,1
"250","Xanthorhoe_incursata","Geometridae",25,3,2,3,1,1,2.5,0.708154261681348,NA
"251","Xanthorhoe_montanata","Geometridae",28,2,1,3,3,1,2.666667,0.766954861523246,1
"252","Xanthorhoe_quadrifasiata","Geometridae",27,2,2,3,3,1,2.666667,0.544989664170576,NA
"253","Xanthorhoe_spadicearia","Geometridae",23,3,2,3,3,1,2.5,0.618857285178844,NA
"254","Xestia_baja","Noctuidae",39,2,1,3,3,1,2,0.436740661743654,8
"255","Xestia_c_nigrum","Noctuidae",38,2,2,1,3,1,2,0.505329475923164,14
"256","Xestia_collina","Noctuidae",32,2,1,3,3,1,2.5,0.467348821937912,1
"257","Xestia_ditrapezium","Noctuidae",42,2,1,3,3,1,2.5,0.479420255506881,1
"258","Xestia_sexstrigata","Noctuidae",36,2,1,2,3,1,2.666667,0.478489422715392,NA
"259","Xestia_speciosa","Noctuidae",46,2,1,3,3,1,2.5,0.540117271437339,0
"260","Xestia_stigmatica","Noctuidae",41,2,1,3,3,1,2.5,0.385159369507041,5
"261","Xestia_triangulum","Noctuidae",43,2,1,3,3,1,2.5,0.48815928472227,2
